PRODUCT,DATE,SUMMARY,SENTIMENT_SCORE
Alpine Skis,2024-11-08,"Best Alpine Skis I've used on the slopes, highly recommend.",0.39173433
Fleece Base Layer,2023-06-07,"Best Fleece Base Layer I've used on the slopes, highly recommend.",0.8663306
Insulated Jacket,2024-03-24,"The Insulated Jacket exceeded my expectations, very durable.",0.77345405
Mountain Series Helmet,2024-03-30,"The Mountain Series Helmet arrived as described, no complaints.",0.19190018
Mountain Series Helmet,2024-06-30,Fast shipping and the Mountain Series Helmet fits perfectly.,0.93278204
Mountain Series Helmet,2024-01-12,"The Mountain Series Helmet stopped working properly, poor insulation.",-0.21244817
Trekking Poles,2023-10-16,"The Trekking Poles stopped working properly, poor insulation.",-0.57803217
Insulated Jacket,2023-07-24,"Terrible quality Insulated Jacket, stitching came apart immediately.",-0.30159846
Alpine Skis,2024-10-18,"Average Alpine Skis, works fine for casual use.",0.07727037
Thermal Gloves,2024-06-12,"The Thermal Gloves doesn't fit as advertised, sizing is way off.",-0.9328999
Insulated Jacket,2023-10-07,"Best Insulated Jacket I've used on the slopes, highly recommend.",0.40314406
Fleece Base Layer,2023-04-04,"Terrible quality Fleece Base Layer, stitching came apart immediately.",-0.3466374
Ski Goggles,2023-01-28,Fast shipping and the Ski Goggles fits perfectly.,0.65140498
Mountain Series Helmet,2024-01-31,"The Mountain Series Helmet doesn't fit as advertised, sizing is way off.",-0.82036899
Ski Goggles,2023-04-12,"Not worth the price, the Ski Goggles feels cheaply made.",-0.73176772
Insulated Jacket,2023-05-21,Fast shipping and the Insulated Jacket fits perfectly.,0.78725039
Insulated Jacket,2024-04-25,"Absolutely love the Insulated Jacket, kept me warm the whole trip.",0.93410024
Alpine Skis,2023-09-20,"Great quality Alpine Skis, worth every peso.",0.68416297
Fleece Base Layer,2023-04-24,"Terrible quality Fleece Base Layer, stitching came apart immediately.",-0.75907904
Alpine Skis,2023-09-02,"Best Alpine Skis I've used on the slopes, highly recommend.",0.61997953
Thermal Gloves,2024-05-26,"The Thermal Gloves is okay, does the job but nothing special.",0.11597747
Mountain Series Helmet,2023-05-28,"Absolutely love the Mountain Series Helmet, kept me warm the whole trip.",0.73036671
Mountain Series Helmet,2024-08-07,"Absolutely love the Mountain Series Helmet, kept me warm the whole trip.",0.66643919
Ski Goggles,2023-03-11,"The Ski Goggles stopped working properly, poor insulation.",-0.59413784
Alpine Skis,2024-02-04,"The Alpine Skis broke after one week of use, very disappointed.",-0.49146337
Ski Goggles,2023-09-17,"The Ski Goggles doesn't fit as advertised, sizing is way off.",-0.36918399
Ski Goggles,2023-09-04,"Not worth the price, the Ski Goggles feels cheaply made.",-0.91706891
Ski Goggles,2023-05-17,"Best Ski Goggles I've used on the slopes, highly recommend.",0.53698308
Insulated Jacket,2024-04-20,Delivery for the Insulated Jacket was delayed by two weeks.,-0.49461132
Insulated Jacket,2023-03-06,Delivery for the Insulated Jacket was delayed by two weeks.,-0.97041297
Mountain Series Helmet,2023-02-14,"The Mountain Series Helmet broke after one week of use, very disappointed.",-0.74752334
Snowboard Boots,2024-06-11,"Best Snowboard Boots I've used on the slopes, highly recommend.",0.63137984
Alpine Skis,2024-10-24,"The Alpine Skis exceeded my expectations, very durable.",0.90349697
Alpine Skis,2024-11-02,"Absolutely love the Alpine Skis, kept me warm the whole trip.",0.85953969
Fleece Base Layer,2024-02-14,Delivery for the Fleece Base Layer was delayed by two weeks.,-0.7287707
Insulated Jacket,2024-05-23,"The Insulated Jacket doesn't fit as advertised, sizing is way off.",-0.26055163
Snowboard Boots,2023-03-26,"The Snowboard Boots broke after one week of use, very disappointed.",-0.65551428
Insulated Jacket,2024-07-12,"Absolutely love the Insulated Jacket, kept me warm the whole trip.",0.35604824
Snowboard Boots,2023-11-10,Fast shipping and the Snowboard Boots fits perfectly.,0.41665134
Trekking Poles,2023-12-26,"The Trekking Poles exceeded my expectations, very durable.",0.73039604
Fleece Base Layer,2023-10-09,"The Fleece Base Layer is okay, does the job but nothing special.",-0.16247942
Fleece Base Layer,2024-01-08,"The Fleece Base Layer arrived as described, no complaints.",0.1397053
Alpine Skis,2023-05-27,"Not worth the price, the Alpine Skis feels cheaply made.",-0.37495042
Alpine Skis,2023-05-10,"The Alpine Skis exceeded my expectations, very durable.",0.55350541
Alpine Skis,2024-09-11,Fast shipping and the Alpine Skis fits perfectly.,0.96417647
Ski Goggles,2024-03-30,"The Ski Goggles stopped working properly, poor insulation.",-0.88984391
Ski Goggles,2024-02-12,"The Ski Goggles exceeded my expectations, very durable.",0.47472816
Thermal Gloves,2023-01-27,Delivery for the Thermal Gloves was delayed by two weeks.,-0.58580378
Thermal Gloves,2023-09-26,"Not worth the price, the Thermal Gloves feels cheaply made.",-0.64298151
Snowboard Boots,2024-05-17,"Great quality Snowboard Boots, worth every peso.",0.8969784
Trekking Poles,2023-06-26,Delivery for the Trekking Poles was delayed by two weeks.,-0.20219008
Ski Goggles,2024-11-14,"Absolutely love the Ski Goggles, kept me warm the whole trip.",0.684998
Snowboard Boots,2023-11-04,"Not worth the price, the Snowboard Boots feels cheaply made.",-0.43234897
Insulated Jacket,2024-01-06,"The Insulated Jacket is okay, does the job but nothing special.",0.29256627
Insulated Jacket,2023-08-31,"The Insulated Jacket broke after one week of use, very disappointed.",-0.71128278
Ski Goggles,2024-04-23,"The Ski Goggles stopped working properly, poor insulation.",-0.89618302
Thermal Gloves,2023-03-09,Fast shipping and the Thermal Gloves fits perfectly.,0.66798696
Fleece Base Layer,2024-08-11,"The Fleece Base Layer exceeded my expectations, very durable.",0.74963701
Trekking Poles,2024-04-22,"The Trekking Poles doesn't fit as advertised, sizing is way off.",-0.89733231
Insulated Jacket,2023-05-13,"Absolutely love the Insulated Jacket, kept me warm the whole trip.",0.88197356
Insulated Jacket,2023-11-08,"The Insulated Jacket exceeded my expectations, very durable.",0.95431649
Mountain Series Helmet,2023-12-21,"The Mountain Series Helmet stopped working properly, poor insulation.",-0.28405927
Thermal Gloves,2023-09-14,"Best Thermal Gloves I've used on the slopes, highly recommend.",0.49211572
Snowboard Boots,2024-09-21,"The Snowboard Boots arrived as described, no complaints.",0.12049371
Insulated Jacket,2023-06-25,"Not worth the price, the Insulated Jacket feels cheaply made.",-0.27839929
Ski Goggles,2024-07-31,"Absolutely love the Ski Goggles, kept me warm the whole trip.",0.356856
Snowboard Boots,2024-10-28,"Best Snowboard Boots I've used on the slopes, highly recommend.",0.59161075
Alpine Skis,2024-05-24,"The Alpine Skis stopped working properly, poor insulation.",-0.76826267
Snowboard Boots,2024-05-09,Fast shipping and the Snowboard Boots fits perfectly.,0.50820371
Thermal Gloves,2023-03-03,Fast shipping and the Thermal Gloves fits perfectly.,0.63897579
Mountain Series Helmet,2023-12-15,"Average Mountain Series Helmet, works fine for casual use.",0.23074254
Ski Goggles,2023-12-20,"Terrible quality Ski Goggles, stitching came apart immediately.",-0.391468
Thermal Gloves,2023-11-23,"Absolutely love the Thermal Gloves, kept me warm the whole trip.",0.48723017
Mountain Series Helmet,2023-05-25,"The Mountain Series Helmet exceeded my expectations, very durable.",0.96176942
Fleece Base Layer,2023-09-12,"Terrible quality Fleece Base Layer, stitching came apart immediately.",-0.34921772
Ski Goggles,2023-07-14,Delivery for the Ski Goggles was delayed by two weeks.,-0.20322447
Trekking Poles,2024-05-25,Delivery for the Trekking Poles was delayed by two weeks.,-0.98145896
Fleece Base Layer,2024-06-01,"The Fleece Base Layer is okay, does the job but nothing special.",-0.09242779
Ski Goggles,2023-02-19,Fast shipping and the Ski Goggles fits perfectly.,0.71826314
Trekking Poles,2023-10-20,"The Trekking Poles is okay, does the job but nothing special.",0.01546388
Snowboard Boots,2024-01-10,"The Snowboard Boots doesn't fit as advertised, sizing is way off.",-0.96380608
Alpine Skis,2024-08-06,"Average Alpine Skis, works fine for casual use.",0.07661146
Thermal Gloves,2024-01-31,"The Thermal Gloves arrived as described, no complaints.",-0.06013966
Thermal Gloves,2023-05-12,Delivery for the Thermal Gloves was delayed by two weeks.,-0.70144133
Ski Goggles,2024-07-25,"Terrible quality Ski Goggles, stitching came apart immediately.",-0.84075369
Fleece Base Layer,2024-05-27,"Absolutely love the Fleece Base Layer, kept me warm the whole trip.",0.39592546
Ski Goggles,2024-04-30,"The Ski Goggles is okay, does the job but nothing special.",0.10313026
Insulated Jacket,2023-12-02,"The Insulated Jacket doesn't fit as advertised, sizing is way off.",-0.86999836
Snowboard Boots,2024-08-30,"Best Snowboard Boots I've used on the slopes, highly recommend.",0.67263788
Snowboard Boots,2024-05-01,"The Snowboard Boots doesn't fit as advertised, sizing is way off.",-0.73500833
Thermal Gloves,2024-03-02,"The Thermal Gloves arrived as described, no complaints.",0.23604956
Alpine Skis,2024-09-03,"The Alpine Skis arrived as described, no complaints.",0.191452
Mountain Series Helmet,2023-02-22,"The Mountain Series Helmet is okay, does the job but nothing special.",0.06211617
Fleece Base Layer,2023-06-01,"Terrible quality Fleece Base Layer, stitching came apart immediately.",-0.97474359
Thermal Gloves,2023-07-15,"The Thermal Gloves exceeded my expectations, very durable.",0.59314621
Fleece Base Layer,2023-07-28,"Best Fleece Base Layer I've used on the slopes, highly recommend.",0.94436466
Alpine Skis,2023-05-22,"The Alpine Skis arrived as described, no complaints.",-0.03747523
Trekking Poles,2024-06-22,"Great quality Trekking Poles, worth every peso.",0.62176447
Ski Goggles,2024-07-13,"The Ski Goggles exceeded my expectations, very durable.",0.72705361
Mountain Series Helmet,2023-09-10,"The Mountain Series Helmet exceeded my expectations, very durable.",0.45740693
Snowboard Boots,2023-10-23,"Not worth the price, the Snowboard Boots feels cheaply made.",-0.43600939
Ski Goggles,2024-05-06,"The Ski Goggles exceeded my expectations, very durable.",0.50145256
Fleece Base Layer,2024-02-09,"Terrible quality Fleece Base Layer, stitching came apart immediately.",-0.76763788
Snowboard Boots,2023-03-22,Fast shipping and the Snowboard Boots fits perfectly.,0.75918044
Trekking Poles,2023-08-08,"Best Trekking Poles I've used on the slopes, highly recommend.",0.48979291
